,GME,GME,GME,GME,GME,GME,GME,AMC,AMC,AMC,AMC,AMC,AMC,AMC,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG
,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01 05:00:00+00:00,25.49,25.8075,25.13,25.44,128530,1289,25.399535,25.49,25.8075,25.13,25.44,128530,1289,25.399535,25.49,25.8075,25.13,25.44,128530,1289,25.399535,25.49,25.8075,25.13,25.44,128530,1289,25.399535,25.49,25.8075,25.13,25.44,128530,1289,25.399535
2015-12-02 05:00:00+00:00,25.44,25.48,24.71,24.85,168749,1767,24.943277,25.44,25.48,24.71,24.85,168749,1767,24.943277,25.44,25.48,24.71,24.85,168749,1767,24.943277,25.44,25.48,24.71,24.85,168749,1767,24.943277,25.44,25.48,24.71,24.85,168749,1767,24.943277
2015-12-03 05:00:00+00:00,24.7,24.8,24.12,24.6,185178,1809,24.574407,24.7,24.8,24.12,24.6,185178,1809,24.574407,24.7,24.8,24.12,24.6,185178,1809,24.574407,24.7,24.8,24.12,24.6,185178,1809,24.574407,24.7,24.8,24.12,24.6,185178,1809,24.574407
2015-12-04 05:00:00+00:00,24.55,24.725,23.69,23.74,188329,1893,23.950315,24.55,24.725,23.69,23.74,188329,1893,23.950315,24.55,24.725,23.69,23.74,188329,1893,23.950315,24.55,24.725,23.69,23.74,188329,1893,23.950315,24.55,24.725,23.69,23.74,188329,1893,23.950315
2015-12-07 05:00:00+00:00,23.0,23.56,22.375,23.39,414500,3224,23.047904,23.0,23.56,22.375,23.39,414500,3224,23.047904,23.0,23.56,22.375,23.39,414500,3224,23.047904,23.0,23.56,22.375,23.39,414500,3224,23.047904,23.0,23.56,22.375,23.39,414500,3224,23.047904
2015-12-08 05:00:00+00:00,23.16,23.9,22.75,23.57,211452,1959,23.409686,23.16,23.9,22.75,23.57,211452,1959,23.409686,23.16,23.9,22.75,23.57,211452,1959,23.409686,23.16,23.9,22.75,23.57,211452,1959,23.409686,23.16,23.9,22.75,23.57,211452,1959,23.409686
2015-12-09 05:00:00+00:00,23.55,23.69,22.68,23.09,204923,1958,23.078517,23.55,23.69,22.68,23.09,204923,1958,23.078517,23.55,23.69,22.68,23.09,204923,1958,23.078517,23.55,23.69,22.68,23.09,204923,1958,23.078517,23.55,23.69,22.68,23.09,204923,1958,23.078517
2015-12-10 05:00:00+00:00,23.1,23.71,22.84,23.58,157808,1507,23.442027,23.1,23.71,22.84,23.58,157808,1507,23.442027,23.1,23.71,22.84,23.58,157808,1507,23.442027,23.1,23.71,22.84,23.58,157808,1507,23.442027,23.1,23.71,22.84,23.58,157808,1507,23.442027
2015-12-11 05:00:00+00:00,23.29,23.65,22.92,23.08,375101,2097,23.364525,23.29,23.65,22.92,23.08,375101,2097,23.364525,23.29,23.65,22.92,23.08,375101,2097,23.364525,23.29,23.65,22.92,23.08,375101,2097,23.364525,23.29,23.65,22.92,23.08,375101,2097,23.364525
2015-12-14 05:00:00+00:00,23.09,23.41,22.41,22.91,173024,1649,22.797374,23.09,23.41,22.41,22.91,173024,1649,22.797374,23.09,23.41,22.41,22.91,173024,1649,22.797374,23.09,23.41,22.41,22.91,173024,1649,22.797374,23.09,23.41,22.41,22.91,173024,1649,22.797374
2015-12-15 05:00:00+00:00,23.23,24.31,23.23,24.13,242644,2650,23.966309,23.23,24.31,23.23,24.13,242644,2650,23.966309,23.23,24.31,23.23,24.13,242644,2650,23.966309,23.23,24.31,23.23,24.13,242644,2650,23.966309,23.23,24.31,23.23,24.13,242644,2650,23.966309
2015-12-16 05:00:00+00:00,24.55,25.52,24.37,25.4,371961,3310,25.14902,24.55,25.52,24.37,25.4,371961,3310,25.14902,24.55,25.52,24.37,25.4,371961,3310,25.14902,24.55,25.52,24.37,25.4,371961,3310,25.14902,24.55,25.52,24.37,25.4,371961,3310,25.14902
2015-12-17 05:00:00+00:00,25.68,25.87,24.8,25.14,481551,3807,25.258737,25.68,25.87,24.8,25.14,481551,3807,25.258737,25.68,25.87,24.8,25.14,481551,3807,25.258737,25.68,25.87,24.8,25.14,481551,3807,25.258737,25.68,25.87,24.8,25.14,481551,3807,25.258737
2015-12-18 05:00:00+00:00,25.0,25.53,24.38,24.78,476245,3280,24.831351,25.0,25.53,24.38,24.78,476245,3280,24.831351,25.0,25.53,24.38,24.78,476245,3280,24.831351,25.0,25.53,24.38,24.78,476245,3280,24.831351,25.0,25.53,24.38,24.78,476245,3280,24.831351
2015-12-21 05:00:00+00:00,24.93,24.9823,23.93,24.14,211802,2285,24.261862,24.93,24.9823,23.93,24.14,211802,2285,24.261862,24.93,24.9823,23.93,24.14,211802,2285,24.261862,24.93,24.9823,23.93,24.14,211802,2285,24.261862,24.93,24.9823,23.93,24.14,211802,2285,24.261862
2015-12-22 05:00:00+00:00,24.2,24.74,23.67,24.57,223095,1996,24.330606,24.2,24.74,23.67,24.57,223095,1996,24.330606,24.2,24.74,23.67,24.57,223095,1996,24.330606,24.2,24.74,23.67,24.57,223095,1996,24.330606,24.2,24.74,23.67,24.57,223095,1996,24.330606
2015-12-23 05:00:00+00:00,24.61,24.61,23.45,23.48,335497,2854,23.633944,24.61,24.61,23.45,23.48,335497,2854,23.633944,24.61,24.61,23.45,23.48,335497,2854,23.633944,24.61,24.61,23.45,23.48,335497,2854,23.633944,24.61,24.61,23.45,23.48,335497,2854,23.633944
2015-12-24 05:00:00+00:00,23.5,23.515,23.15,23.25,228149,1702,23.297537,23.5,23.515,23.15,23.25,228149,1702,23.297537,23.5,23.515,23.15,23.25,228149,1702,23.297537,23.5,23.515,23.15,23.25,228149,1702,23.297537,23.5,23.515,23.15,23.25,228149,1702,23.297537
2015-12-28 05:00:00+00:00,23.0,23.26,22.76,23.03,420786,3468,23.007317,23.0,23.26,22.76,23.03,420786,3468,23.007317,23.0,23.26,22.76,23.03,420786,3468,23.007317,23.0,23.26,22.76,23.03,420786,3468,23.007317,23.0,23.26,22.76,23.03,420786,3468,23.007317
2015-12-29 05:00:00+00:00,23.18,23.55,22.98,23.44,290079,2591,23.337149,23.18,23.55,22.98,23.44,290079,2591,23.337149,23.18,23.55,22.98,23.44,290079,2591,23.337149,23.18,23.55,22.98,23.44,290079,2591,23.337149,23.18,23.55,22.98,23.44,290079,2591,23.337149
2015-12-30 05:00:00+00:00,23.38,23.87,23.32,23.66,247200,2300,23.670078,23.38,23.87,23.32,23.66,247200,2300,23.670078,23.38,23.87,23.32,23.66,247200,2300,23.670078,23.38,23.87,23.32,23.66,247200,2300,23.670078,23.38,23.87,23.32,23.66,247200,2300,23.670078
2015-12-31 05:00:00+00:00,23.62,24.2,23.5,24.0,228484,2025,24.024404,23.62,24.2,23.5,24.0,228484,2025,24.024404,23.62,24.2,23.5,24.0,228484,2025,24.024404,23.62,24.2,23.5,24.0,228484,2025,24.024404,23.62,24.2,23.5,24.0,228484,2025,24.024404
2016-01-04 05:00:00+00:00,23.67,23.76,22.68,23.17,458521,4158,23.061869,23.67,23.76,22.68,23.17,458521,4158,23.061869,23.67,23.76,22.68,23.17,458521,4158,23.061869,23.67,23.76,22.68,23.17,458521,4158,23.061869,23.67,23.76,22.68,23.17,458521,4158,23.061869
2016-01-05 05:00:00+00:00,23.25,23.82,23.01,23.44,550587,4137,23.456165,23.25,23.82,23.01,23.44,550587,4137,23.456165,23.25,23.82,23.01,23.44,550587,4137,23.456165,23.25,23.82,23.01,23.44,550587,4137,23.456165,23.25,23.82,23.01,23.44,550587,4137,23.456165
2016-01-06 05:00:00+00:00,23.03,23.86,23.03,23.2,313477,2369,23.442365,23.03,23.86,23.03,23.2,313477,2369,23.442365,23.03,23.86,23.03,23.2,313477,2369,23.442365,23.03,23.86,23.03,23.2,313477,2369,23.442365,23.03,23.86,23.03,23.2,313477,2369,23.442365
2016-01-07 05:00:00+00:00,22.71,23.0702,22.45,22.62,496934,3866,22.742851,22.71,23.0702,22.45,22.62,496934,3866,22.742851,22.71,23.0702,22.45,22.62,496934,3866,22.742851,22.71,23.0702,22.45,22.62,496934,3866,22.742851,22.71,23.0702,22.45,22.62,496934,3866,22.742851
2016-01-08 05:00:00+00:00,22.75,22.98,22.3,22.38,293725,2975,22.542937,22.75,22.98,22.3,22.38,293725,2975,22.542937,22.75,22.98,22.3,22.38,293725,2975,22.542937,22.75,22.98,22.3,22.38,293725,2975,22.542937,22.75,22.98,22.3,22.38,293725,2975,22.542937
2016-01-11 05:00:00+00:00,22.45,22.84,22.24,22.29,527056,3884,22.408609,22.45,22.84,22.24,22.29,527056,3884,22.408609,22.45,22.84,22.24,22.29,527056,3884,22.408609,22.45,22.84,22.24,22.29,527056,3884,22.408609,22.45,22.84,22.24,22.29,527056,3884,22.408609
2016-01-12 05:00:00+00:00,22.5,22.71,22.12,22.36,378015,3512,22.408881,22.5,22.71,22.12,22.36,378015,3512,22.408881,22.5,22.71,22.12,22.36,378015,3512,22.408881,22.5,22.71,22.12,22.36,378015,3512,22.408881,22.5,22.71,22.12,22.36,378015,3512,22.408881
2016-01-13 05:00:00+00:00,22.42,22.64,21.65,21.82,279602,2544,21.983392,22.42,22.64,21.65,21.82,279602,2544,21.983392,22.42,22.64,21.65,21.82,279602,2544,21.983392,22.42,22.64,21.65,21.82,279602,2544,21.983392,22.42,22.64,21.65,21.82,279602,2544,21.983392
2016-01-14 05:00:00+00:00,21.92,22.04,21.28,21.57,255397,2571,21.547824,21.92,22.04,21.28,21.57,255397,2571,21.547824,21.92,22.04,21.28,21.57,255397,2571,21.547824,21.92,22.04,21.28,21.57,255397,2571,21.547824,21.92,22.04,21.28,21.57,255397,2571,21.547824
2016-01-15 05:00:00+00:00,21.07,21.36,20.48,20.95,500396,3506,20.869139,21.07,21.36,20.48,20.95,500396,3506,20.869139,21.07,21.36,20.48,20.95,500396,3506,20.869139,21.07,21.36,20.48,20.95,500396,3506,20.869139,21.07,21.36,20.48,20.95,500396,3506,20.869139
